Time (s),White Line Pos,User Input,Actual Position,Margin of Error
3.595682,WLP,INPUT,0,Margin of Error
3.613675,WLP,INPUT,0,Margin of Error
3.635696,WLP,INPUT,0,Margin of Error
3.655179,WLP,INPUT,0,Margin of Error
3.675192,WLP,INPUT,0,Margin of Error
3.694679,WLP,INPUT,0,Margin of Error
3.714906,WLP,INPUT,0,Margin of Error
3.733978,WLP,INPUT,0,Margin of Error
3.754354,WLP,INPUT,0,Margin of Error
3.775327,WLP,INPUT,0,Margin of Error
3.795823,WLP,INPUT,0,Margin of Error
3.815706,WLP,INPUT,0,Margin of Error
3.83472,WLP,INPUT,0,Margin of Error
3.855201,WLP,INPUT,0,Margin of Error
3.874369,WLP,INPUT,0,Margin of Error
3.894712,WLP,INPUT,0,Margin of Error
3.914738,WLP,INPUT,0,Margin of Error
3.935392,WLP,INPUT,0,Margin of Error
3.954438,WLP,INPUT,0,Margin of Error
3.973233,WLP,INPUT,0,Margin of Error
3.99346,WLP,INPUT,0,Margin of Error
4.01528,WLP,INPUT,0,Margin of Error
4.035265,WLP,INPUT,0,Margin of Error
4.054261,WLP,INPUT,0,Margin of Error
4.074969,WLP,INPUT,0,Margin of Error
4.094739,WLP,INPUT,0,Margin of Error
4.115259,WLP,INPUT,0,Margin of Error
4.13478,WLP,INPUT,0,Margin of Error
4.155812,WLP,INPUT,0,Margin of Error
4.175808,WLP,INPUT,0,Margin of Error
4.195773,WLP,INPUT,0,Margin of Error
4.21477,WLP,INPUT,0,Margin of Error
4.234868,WLP,INPUT,0,Margin of Error
4.255274,WLP,INPUT,0,Margin of Error
4.274836,WLP,INPUT,0,Margin of Error
4.295046,WLP,INPUT,0,Margin of Error
4.315795,WLP,INPUT,0,Margin of Error
4.334904,WLP,INPUT,0,Margin of Error
4.355056,WLP,INPUT,0,Margin of Error
4.37583,WLP,INPUT,0,Margin of Error
4.394775,WLP,INPUT,0,Margin of Error
4.415295,WLP,INPUT,0,Margin of Error
4.433689,WLP,INPUT,0,Margin of Error
4.454477,WLP,INPUT,0,Margin of Error
4.47378,WLP,INPUT,0,Margin of Error
4.495379,WLP,INPUT,0,Margin of Error
4.51479,WLP,INPUT,0,Margin of Error
4.535525,WLP,INPUT,0,Margin of Error
4.554803,WLP,INPUT,0,Margin of Error
4.574435,WLP,INPUT,0,Margin of Error
4.595286,WLP,INPUT,0,Margin of Error
4.614547,WLP,INPUT,0,Margin of Error
4.634827,WLP,INPUT,0,Margin of Error
4.655334,WLP,INPUT,0,Margin of Error
4.674872,WLP,INPUT,0,Margin of Error
4.694818,WLP,INPUT,0,Margin of Error
4.715129,WLP,INPUT,0,Margin of Error
4.735808,WLP,INPUT,0,Margin of Error
4.754887,WLP,INPUT,0,Margin of Error
4.775097,WLP,INPUT,0,Margin of Error
4.795467,WLP,INPUT,0,Margin of Error
4.814817,WLP,INPUT,0,Margin of Error
4.834953,WLP,INPUT,0,Margin of Error
4.855447,WLP,INPUT,0,Margin of Error
4.875302,WLP,INPUT,0,Margin of Error
4.893952,WLP,INPUT,0,Margin of Error
4.913946,WLP,INPUT,0,Margin of Error
4.935239,WLP,INPUT,0,Margin of Error
4.95577,WLP,INPUT,0,Margin of Error
4.975255,WLP,INPUT,0,Margin of Error
4.994315,WLP,INPUT,0,Margin of Error
5.014814,WLP,INPUT,0,Margin of Error
5.035834,WLP,INPUT,0,Margin of Error
5.054433,WLP,INPUT,0,Margin of Error
5.074602,WLP,INPUT,0,Margin of Error
5.09529,WLP,INPUT,0,Margin of Error
5.11542,WLP,INPUT,0,Margin of Error
5.13581,WLP,INPUT,0,Margin of Error
5.154471,WLP,INPUT,0,Margin of Error
5.175278,WLP,INPUT,0,Margin of Error
5.194807,WLP,INPUT,0,Margin of Error
5.214296,WLP,INPUT,0,Margin of Error
5.234443,WLP,INPUT,0,Margin of Error
5.254809,WLP,INPUT,0,Margin of Error
5.27398,WLP,INPUT,0,Margin of Error
5.295313,WLP,INPUT,0,Margin of Error
5.315033,WLP,INPUT,0,Margin of Error
5.334784,WLP,INPUT,0,Margin of Error
5.354963,WLP,INPUT,0,Margin of Error
5.374929,WLP,INPUT,0,Margin of Error
5.393491,WLP,INPUT,0,Margin of Error
5.415787,WLP,INPUT,0,Margin of Error
5.434565,WLP,INPUT,0,Margin of Error
5.454878,WLP,INPUT,0,Margin of Error
5.475294,WLP,INPUT,0,Margin of Error
5.494337,WLP,INPUT,0,Margin of Error
5.514336,WLP,INPUT,0,Margin of Error
5.535296,WLP,INPUT,0,Margin of Error
5.555287,WLP,INPUT,0,Margin of Error
5.575316,WLP,INPUT,0,Margin of Error
5.595761,WLP,INPUT,0,Margin of Error
5.615341,WLP,INPUT,0,Margin of Error
5.635758,WLP,INPUT,0,Margin of Error
5.654808,WLP,INPUT,0,Margin of Error
5.675384,WLP,INPUT,0,Margin of Error
5.694745,WLP,INPUT,0,Margin of Error
5.714386,WLP,INPUT,0,Margin of Error
5.735786,WLP,INPUT,0,Margin of Error
5.755262,WLP,INPUT,0,Margin of Error
5.775342,WLP,INPUT,0,Margin of Error
5.795802,WLP,INPUT,0,Margin of Error
5.815278,WLP,INPUT,0,Margin of Error
5.834795,WLP,INPUT,0,Margin of Error
5.855361,WLP,INPUT,0,Margin of Error
5.874778,WLP,INPUT,0,Margin of Error
5.895066,WLP,INPUT,0,Margin of Error
5.914895,WLP,INPUT,0,Margin of Error
5.934284,WLP,INPUT,0,Margin of Error
5.955293,WLP,INPUT,0,Margin of Error
5.974843,WLP,INPUT,0,Margin of Error
5.994803,WLP,INPUT,0,Margin of Error
6.014782,WLP,INPUT,0,Margin of Error
6.034856,WLP,INPUT,0,Margin of Error
6.054941,WLP,INPUT,0,Margin of Error
6.075818,WLP,INPUT,0,Margin of Error
6.095332,WLP,INPUT,0,Margin of Error
6.115791,WLP,INPUT,0,Margin of Error
6.134448,WLP,INPUT,0,Margin of Error
6.154473,WLP,INPUT,0,Margin of Error
6.174767,WLP,INPUT,0,Margin of Error
6.194779,WLP,INPUT,0,Margin of Error
6.215525,WLP,INPUT,0,Margin of Error
6.234791,WLP,INPUT,0,Margin of Error
6.255807,WLP,INPUT,0,Margin of Error
6.274794,WLP,INPUT,0,Margin of Error
6.295312,WLP,INPUT,0,Margin of Error
6.314822,WLP,INPUT,0,Margin of Error
6.335401,WLP,INPUT,0,Margin of Error
6.354305,WLP,INPUT,0,Margin of Error
6.37482,WLP,INPUT,0,Margin of Error
6.395326,WLP,INPUT,0,Margin of Error
6.413504,WLP,INPUT,0,Margin of Error
6.434822,WLP,INPUT,0,Margin of Error
6.454803,WLP,INPUT,0,Margin of Error
6.475303,WLP,INPUT,0,Margin of Error
6.495296,WLP,INPUT,0,Margin of Error
6.515793,WLP,INPUT,0,Margin of Error
6.535805,WLP,INPUT,0,Margin of Error
6.554811,WLP,INPUT,0,Margin of Error
6.567358,WLP,INPUT,0,Margin of Error
6.595388,WLP,INPUT,0,Margin of Error
6.61577,WLP,INPUT,0,Margin of Error
6.634424,WLP,INPUT,0,Margin of Error
6.65581,WLP,INPUT,0,Margin of Error
6.675442,WLP,INPUT,0,Margin of Error
6.695325,WLP,INPUT,0,Margin of Error
6.714913,WLP,INPUT,0,Margin of Error
6.734419,WLP,INPUT,0,Margin of Error
6.75534,WLP,INPUT,0,Margin of Error
6.774849,WLP,INPUT,0,Margin of Error
6.795137,WLP,INPUT,0,Margin of Error
